loan_status,loan_amnt,term,int_rate,installment,sub_grade,emp_length,annual_inc,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,revol_bal,revol_util,total_acc,fico_score,fico_class,home_ownership_MORTGAGE,home_ownership_RENT,verif_stat,year_issue,month_issue,year_ecl,month_ecl,geo_loc,geo_loc_ns,geo_loc_we
1,5000.0,36,14.65,172.48,3,2.0,24000.0,1,18.3,0.0,2.0,5.0,2429.0,33.3,76.0,672,1,0,1,2,2011,12,1,11,1,1,1
1,8850.0,36,6.62,271.73,1,10.0,62000.0,1,17.71,0.0,0.0,7.0,9466.0,35.9,76.0,737,1,0,1,2,2011,12,2,9,1,1,1
1,6375.0,36,7.51,198.34,1,4.0,44000.0,1,4.8,0.0,0.0,7.0,6324.0,58.0,76.0,732,1,0,1,2,2011,12,1,11,3,2,1
1,6000.0,36,11.71,198.46,2,1.0,90000.0,1,2.97,1.0,0.0,10.0,8489.0,56.6,76.0,682,1,0,1,1,2011,12,1,5,1,1,1
0,11100.0,36,6.62,340.82,1,10.0,41000.0,1,29.85,0.0,1.0,8.0,17518.0,62.3,76.0,757,2,0,1,3,2011,12,2,1,1,1,1
1,10000.0,60,12.69,225.95,2,2.0,56000.0,1,10.82,0.0,1.0,11.0,10081.0,31.2,76.0,737,1,1,0,2,2011,12,1,4,4,2,2
1,6200.0,36,6.03,188.71,1,5.0,26500.0,4,18.2,0.0,0.0,6.0,2982.0,16.0,76.0,772,2,1,0,1,2011,12,1,6,1,1,1
1,15000.0,36,18.64,547.12,5,1.0,54000.0,1,19.69,0.0,2.0,9.0,15183.0,90.3,76.0,662,0,0,1,1,2011,12,1,8,3,2,1
1,4200.0,36,11.71,138.92,2,2.0,53000.0,4,16.91,0.0,0.0,15.0,8336.0,79.7,76.0,682,1,0,1,1,2011,12,1,12,1,1,1
1,14000.0,36,14.27,480.33,3,4.0,52800.0,1,7.36,0.0,1.0,9.0,13378.0,70.8,76.0,682,1,0,1,1,2011,12,1,2,4,2,2
1,8875.0,36,7.51,276.11,1,1.0,38000.0,1,23.53,0.0,1.0,13.0,19056.0,62.1,76.0,742,2,1,0,1,2011,12,2,6,3,2,1
1,13500.0,36,9.91,435.04,2,7.0,38000.0,1,12.38,0.0,1.0,3.0,16023.0,67.3,76.0,747,2,0,1,3,2011,12,2,5,4,2,2
0,12000.0,36,9.91,386.7,2,2.0,42000.0,1,7.83,0.0,2.0,8.0,9749.0,65.4,76.0,727,1,0,1,1,2011,12,1,6,1,1,1
1,16000.0,60,19.91,423.11,5,4.0,55000.0,1,15.8,0.0,0.0,8.0,7743.0,72.4,76.0,667,0,0,1,3,2011,12,1,2,2,1,2
1,21600.0,60,19.42,565.32,5,8.0,60000.0,1,16.74,1.0,0.0,6.0,13354.0,78.1,76.0,677,1,1,0,2,2011,12,2,12,3,2,1
1,20000.0,60,13.49,460.1,3,1.0,82000.0,1,17.68,0.0,0.0,13.0,26693.0,61.4,76.0,717,1,0,1,1,2011,12,2,2,1,1,1
0,10000.0,36,11.71,330.76,2,8.0,60000.0,1,22.08,0.0,0.0,8.0,5626.0,29.3,76.0,697,1,0,1,1,2011,12,1,7,4,2,2
1,12000.0,36,16.29,423.61,4,5.0,80000.0,1,18.18,0.0,0.0,8.0,29609.0,97.2,76.0,687,1,1,0,3,2011,12,1,4,3,2,1
0,13475.0,60,13.49,309.99,3,10.0,25000.0,1,21.89,0.0,1.0,7.0,9943.0,65.8,76.0,732,1,0,1,3,2011,12,1,12,4,2,2
1,7200.0,36,12.42,240.59,2,5.0,48000.0,4,17.43,0.0,1.0,7.0,16450.0,80.2,76.0,687,1,0,1,1,2011,12,1,9,1,1,1
0,5600.0,36,14.65,193.17,3,1.0,85000.0,1,12.24,1.0,3.0,8.0,6812.0,90.8,76.0,677,1,1,0,1,2011,12,2,5,4,2,2
1,12000.0,36,14.27,411.71,3,0.0,57000.0,1,10.86,0.0,1.0,7.0,9273.0,81.5,76.0,682,1,0,1,3,2011,12,2,8,4,2,2
1,8500.0,36,6.03,258.71,1,2.0,25000.0,1,1.73,0.0,0.0,6.0,2463.0,28.0,76.0,762,2,0,1,1,2011,12,1,10,1,1,1
1,8000.0,36,9.91,257.8,2,2.0,34000.0,1,18.28,0.0,0.0,6.0,7434.0,78.5,76.0,712,1,0,1,2,2011,12,1,12,1,1,1
1,8000.0,36,12.42,267.33,2,10.0,40000.0,1,15.0,0.0,0.0,10.0,18601.0,88.2,76.0,692,1,0,1,1,2011,12,1,5,2,1,2
1,16000.0,60,15.27,382.92,3,10.0,42656.4,1,17.44,0.0,1.0,4.0,12830.0,92.3,76.0,737,1,0,1,2,2011,12,1,10,3,2,1
1,10000.0,36,6.62,307.04,1,5.0,70000.0,1,16.78,0.0,0.0,9.0,10770.0,69.0,76.0,742,2,1,0,1,2011,12,2,8,1,1,1
1,8000.0,36,14.65,275.96,3,3.0,28000.0,3,12.6,0.0,1.0,8.0,6187.0,54.3,76.0,677,1,0,1,1,2011,12,1,9,4,2,2
1,22000.0,36,9.91,708.95,2,2.0,50000.0,1,13.22,0.0,4.0,17.0,21470.0,49.8,76.0,742,2,1,0,3,2011,12,2,9,1,1,1
1,13500.0,36,9.91,435.04,2,2.0,36000.0,1,22.93,0.0,1.0,13.0,25011.0,67.2,76.0,727,1,1,0,2,2011,12,3,4,1,1,1
1,25000.0,36,12.42,835.39,2,2.0,225000.0,1,8.32,1.0,0.0,11.0,30449.0,34.6,76.0,712,1,0,1,3,2011,12,1,7,1,1,1
1,10000.0,36,13.49,339.31,3,2.0,45900.0,4,24.97,0.0,2.0,10.0,8936.0,48.3,76.0,692,1,0,1,3,2011,12,1,10,4,2,2
1,2500.0,36,13.49,84.83,3,4.0,27200.0,1,6.44,0.0,0.0,6.0,3473.0,68.1,76.0,687,1,0,1,1,2011,12,1,7,2,1,2
1,7325.0,36,12.69,245.72,2,1.0,42000.0,1,22.57,0.0,3.0,12.0,7281.0,65.0,76.0,682,1,0,1,1,2011,12,2,5,3,2,1
1,4000.0,36,12.42,133.67,2,5.0,135000.0,1,12.12,0.0,3.0,11.0,29311.0,85.7,76.0,697,1,0,1,3,2011,12,1,1,1,1,1
0,10000.0,36,13.49,339.31,3,5.0,65000.0,4,6.92,1.0,2.0,12.0,14292.0,69.5,76.0,692,1,0,1,1,2011,12,2,12,4,2,2
0,7750.0,36,17.27,277.36,4,0.0,24000.0,1,16.1,0.0,1.0,4.0,2348.0,67.1,76.0,667,0,0,1,1,2011,12,1,9,1,1,1
0,20000.0,60,20.89,539.84,6,6.0,70000.0,1,16.63,0.0,1.0,10.0,10470.0,79.9,76.0,667,0,0,1,2,2011,12,1,11,3,2,1
1,9600.0,36,12.42,320.79,2,10.0,65000.0,1,11.65,0.0,0.0,6.0,11279.0,70.9,76.0,687,1,0,1,3,2011,12,1,8,1,1,1
0,21000.0,60,11.71,464.07,2,3.0,60000.0,1,6.62,0.0,0.0,7.0,10543.0,79.9,76.0,737,1,0,1,1,2011,12,2,12,4,2,2
1,14000.0,36,10.65,456.03,2,3.0,30000.0,1,15.52,0.0,0.0,7.0,15542.0,65.6,76.0,702,1,0,1,2,2011,12,1,9,1,1,1
1,13350.0,36,12.42,446.1,2,10.0,43000.0,1,20.57,0.0,0.0,7.0,11531.0,95.3,76.0,707,1,0,1,1,2011,12,2,5,4,2,2
0,15000.0,36,16.77,533.08,4,10.0,42000.0,1,19.63,0.0,2.0,10.0,8238.0,74.9,76.0,667,0,0,1,3,2011,12,1,8,1,1,1
0,15000.0,36,17.27,536.81,4,8.0,75000.0,1,16.03,0.0,0.0,10.0,13505.0,75.9,76.0,667,0,0,1,2,2011,12,2,3,4,2,2
1,11000.0,60,13.49,253.06,3,10.0,129000.0,1,10.94,0.0,0.0,10.0,1735.0,24.1,76.0,722,1,1,0,3,2011,12,2,11,4,2,2
1,9000.0,36,10.65,293.16,2,9.0,74000.0,1,8.89,0.0,0.0,7.0,7388.0,71.7,76.0,707,1,1,0,2,2011,12,2,9,2,1,2
1,22475.0,60,15.27,537.87,3,7.0,52000.0,1,15.23,0.0,1.0,7.0,18554.0,61.8,76.0,717,1,1,0,3,2011,12,3,9,1,1,1
0,16000.0,36,12.69,536.72,2,1.0,58500.0,1,20.64,0.0,0.0,8.0,26224.0,89.3,76.0,697,1,0,1,2,2011,12,2,9,1,1,1
1,13500.0,36,12.69,452.86,2,5.0,71000.0,1,11.97,0.0,2.0,4.0,6681.0,77.7,76.0,712,1,0,1,2,2011,12,2,12,1,1,1
1,24000.0,36,12.69,805.08,2,10.0,75000.0,1,11.6,0.0,0.0,10.0,21609.0,84.6,76.0,702,1,0,1,3,2011,12,2,5,2,1,2
